apk,rep,timeout,tool,time,spec,class,method,message,unique_msg
ar.rulosoft.mimanganu_75.apk,3,300,droidbot_bfs_naive,5.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,1,300,droidbot_dfs_greedy,3.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,2,120,droidbot_bfs_greedy,7.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,3,300,fastbot,6.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,3,300,fastbot,16.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotificationWithProgressbar,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotificationWithProgressbar:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,3,300,fastbot,8.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createSearchingForUpdatesNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createSearchingForUpdatesNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,2,60,qtesting,80.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createSearchingForUpdatesNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createSearchingForUpdatesNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,2,60,qtesting,5.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,1,300,fastbot,7.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,1,300,fastbot,40.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotificationWithProgressbar,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotificationWithProgressbar:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,1,300,fastbot,5.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createSearchingForUpdatesNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createSearchingForUpdatesNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,3,120,ares,7.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,3,120,ares,28.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createSearchingForUpdatesNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createSearchingForUpdatesNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,3,120,ares,14.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotificationWithProgressbar,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotificationWithProgressbar:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,1,300,ape,8.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotificationWithProgressbar,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotificationWithProgressbar:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,1,300,ape,3.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,3,180,fastbot,6.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createSearchingForUpdatesNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createSearchingForUpdatesNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,3,180,fastbot,7.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,3,180,fastbot,16.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotificationWithProgressbar,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotificationWithProgressbar:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,3,60,monkey,6.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,3,120,ape,62.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotificationWithProgressbar,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotificationWithProgressbar:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,3,120,ape,5.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,3,180,monkey,21.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,1,120,droidbot_dfs_greedy,1.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,1,60,ape,7.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,1,120,qtesting,41.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createSearchingForUpdatesNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createSearchingForUpdatesNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,1,120,qtesting,5.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,2,120,droidmate,71.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotificationWithProgressbar,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotificationWithProgressbar:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,2,120,droidmate,15.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,3,120,droidbot,5.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,2,180,qtesting,48.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotificationWithProgressbar,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotificationWithProgressbar:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,2,180,qtesting,30.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createSearchingForUpdatesNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createSearchingForUpdatesNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,2,180,qtesting,6.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,2,120,droidbot,4.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,2,300,droidbot,2.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,1,180,qtesting,27.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createSearchingForUpdatesNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createSearchingForUpdatesNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,1,180,qtesting,3.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,1,180,qtesting,69.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotificationWithProgressbar,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotificationWithProgressbar:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,2,300,droidbot_dfs_greedy,3.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,1,120,droidbot_bfs_naive,3.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,3,180,ares,5.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,1,60,droidbot_dfs_greedy,2.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,3,180,humanoid,8.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,2,180,ape,7.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,2,180,ape,78.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotificationWithProgressbar,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotificationWithProgressbar:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,1,120,droidbot_bfs_greedy,3.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,1,180,ape,6.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,1,180,ape,86.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotificationWithProgressbar,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotificationWithProgressbar:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,2,180,droidmate,75.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotificationWithProgressbar,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotificationWithProgressbar:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,2,180,droidmate,11.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,1,300,ares,4.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,1,300,ares,152.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotificationWithProgressbar,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotificationWithProgressbar:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,1,300,ares,67.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createSearchingForUpdatesNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createSearchingForUpdatesNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,2,180,droidbot_bfs_greedy,3.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,1,300,monkey,7.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,3,300,droidbot,1.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,3,120,monkey,8.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,1,120,humanoid,60.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotificationWithProgressbar,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotificationWithProgressbar:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
