apk,rep,timeout,tool,time,spec,class,method,message,unique_msg
ar.rulosoft.mimanganu_75.apk,2,180,fastbot,45.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotificationWithProgressbar,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotificationWithProgressbar:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,2,180,fastbot,14.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createSearchingForUpdatesNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createSearchingForUpdatesNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,2,180,fastbot,4.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,1,60,ares,3.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,1,60,ares,23.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotificationWithProgressbar,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotificationWithProgressbar:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,1,60,ares,22.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createSearchingForUpdatesNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createSearchingForUpdatesNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,1,60,humanoid,4.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,1,300,droidbot,6.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,1,180,droidmate,85.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotificationWithProgressbar,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotificationWithProgressbar:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
ar.rulosoft.mimanganu_75.apk,1,180,droidmate,20.0,Object_MonitorOwner,ar.rulosoft.mimanganu.utils.Util,createNotification,Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.,ar.rulosoft.mimanganu.utils.Util:::createNotification:::Object_MonitorOwner:::Object_MonitorOwner:::Object_MonitorOwner notify() and notifyAll() can be called only by the owner of this object's monitor.
